iter	RMSE
0	14.47079091
1	14.08303383
2	13.68687125
3	13.31422435
4	12.96095987
5	12.64962855
6	12.32917497
7	12.07480966
8	11.81273819
9	11.52687269
10	11.2723177
11	11.05342407
12	10.80618354
13	10.57685988
14	10.33907006
15	10.12073153
16	9.907287645
17	9.709525499
18	9.518938692
19	9.333261776
20	9.188887927
21	9.02590497
22	8.847684227
23	8.690256941
24	8.537815899
25	8.39394518
26	8.256006052
27	8.123367848
28	8.000640426
29	7.882158971
30	7.76758195
31	7.656802834
32	7.546628651
33	7.451922413
34	7.354728316
35	7.268309837
36	7.183913791
37	7.104960292
38	7.023887092
39	6.948050412
40	6.871645464
41	6.807812689
42	6.73950086
43	6.687622402
44	6.632331903
45	6.580824596
46	6.528414532
47	6.471733135
48	6.413548921
49	6.366204304
50	6.308043111
51	6.266309148
52	6.217686011
53	6.169844205
54	6.133676839
55	6.09804962
56	6.058800408
57	6.022385947
58	5.989066755
59	5.958430662
60	5.932062993
61	5.899994712
62	5.869688075
63	5.835797459
64	5.811581724
65	5.786443771
66	5.763899332
67	5.738806242
68	5.713462672
69	5.689462412
70	5.664338511
71	5.642075236
72	5.623615565
73	5.604453202
74	5.586615939
75	5.566620047
76	5.550630144
77	5.532331972
78	5.51902556
79	5.500432546
80	5.4849384
81	5.471872478
82	5.465468853
83	5.449783265
84	5.436180742
85	5.422103104
86	5.409849998
87	5.401890709
88	5.390231985
89	5.380745193
90	5.367514364
91	5.358970729
92	5.348499072
93	5.338175027
94	5.330329582
95	5.318824575
96	5.308374018
97	5.301464987
98	5.294655389
99	5.283608626
100	5.275598537
101	5.266492949
102	5.257883637
103	5.248084161
104	5.242185791
105	5.234034422
106	5.227138161
107	5.218940283
108	5.211701766
109	5.202048837
110	5.196183081
111	5.187951473
112	5.18303204
113	5.177450997
114	5.172457533
115	5.164592141
116	5.162874124
117	5.158633317
118	5.150716711
119	5.14312555
120	5.138786332
121	5.134255832
122	5.128684672
123	5.122875994
124	5.119291063
125	5.113498054
126	5.105361282
127	5.097692832
128	5.092115118
129	5.088930014
130	5.08318335
131	5.077914435
132	5.069856821
133	5.065968884
134	5.062240264
135	5.056060849
136	5.05157456
137	5.0454544
138	5.042525666
139	5.039306565
140	5.033354629
141	5.027268548
142	5.020613563
143	5.015119226
144	5.012675704
145	5.006600326
146	5.001832214
147	4.997140744
148	4.989869117
149	4.983264733
150	4.976665013
151	4.971154159
152	4.967611682
153	4.965356537
154	4.958242429
155	4.953535812
156	4.950869491
157	4.945642426
158	4.942854574
159	4.938289427
160	4.936050474
161	4.932094332
162	4.927937052
163	4.925723641
164	4.921653033
165	4.916780937
166	4.913801579
167	4.911930872
168	4.909076884
169	4.905441415
170	4.901913993
171	4.898034058
172	4.895162529
173	4.89168335
174	4.886052009
175	4.883863733
176	4.878011816
