iter	Passed	Remaining
0	47	47791
1	48	24194
2	49	16312
3	49	12350
4	50	9985
5	50	8408
6	51	7280
7	51	6436
8	52	5774
9	52	5235
10	53	4806
11	53	4441
12	54	4142
13	55	3883
14	55	3654
15	56	3456
16	56	3279
17	57	3127
18	57	2988
19	58	2861
20	58	2745
21	59	2639
22	59	2545
23	60	2457
24	61	2379
25	61	2306
26	62	2237
27	62	2173
28	63	2113
29	63	2058
30	64	2005
31	64	1956
32	65	1910
33	65	1867
34	66	1826
35	66	1787
36	67	1750
37	67	1716
38	68	1683
39	68	1653
40	69	1623
41	69	1595
42	70	1567
43	70	1541
44	71	1516
45	71	1491
46	72	1469
47	73	1448
48	73	1428
49	74	1408
50	74	1389
51	75	1372
52	75	1354
53	76	1335
54	76	1318
55	77	1303
56	77	1287
57	78	1272
58	78	1258
59	79	1244
60	79	1230
61	80	1220
62	81	1207
63	81	1198
64	82	1186
65	83	1174
66	83	1162
67	84	1151
68	84	1141
69	85	1131
70	85	1121
71	86	1114
72	87	1104
73	87	1095
74	88	1085
75	88	1076
76	89	1068
77	89	1059
78	90	1051
79	90	1043
80	91	1036
81	91	1028
82	92	1018
83	92	1011
84	93	1004
85	93	997
86	94	990
87	94	983
88	95	977
89	96	971
90	96	964
91	97	958
92	97	952
93	98	946
94	98	940
95	99	934
96	99	929
97	100	924
98	100	918
99	101	913
100	102	908
101	102	903
102	103	897
103	103	892
104	104	888
105	104	883
106	105	878
107	105	873
108	106	868
109	106	864
110	107	859
111	107	854
112	108	850
113	108	845
114	109	841
115	109	837
116	110	833
117	110	828
118	111	825
119	111	820
120	112	816
121	112	812
122	113	811
123	114	808
124	114	804
125	115	800
126	115	797
127	116	793
128	117	790
129	117	787
130	118	783
131	118	780
132	119	776
133	119	773
134	120	770
135	120	767
136	121	764
137	121	760
138	122	757
139	122	754
140	123	751
141	123	748
142	124	745
143	124	742
144	125	739
145	125	736
146	126	733
147	126	730
148	127	727
149	127	724
150	128	721
151	128	718
152	129	716
153	129	713
154	130	710
155	130	707
156	131	705
157	131	702
158	132	699
159	132	697
160	133	694
161	133	692
162	134	689
163	134	687
164	135	684
165	135	682
166	136	679
167	136	677
168	137	675
169	137	672
170	138	670
171	138	668
172	139	665
173	139	663
174	140	661
175	140	659
176	141	656
177	141	654
178	142	652
179	142	650
180	143	648
181	143	647
182	144	645
183	144	642
184	145	640
185	145	638
186	146	636
187	146	634
188	147	632
189	147	630
190	148	628
191	148	626
192	149	625
193	149	623
194	150	621
195	151	619
196	151	617
197	152	615
198	152	613
199	152	611
200	153	610
201	154	608
202	154	607
203	155	605
204	155	603
205	156	601
206	156	600
207	157	598
208	157	596
209	158	594
210	158	593
211	159	591
212	159	589
213	160	588
214	160	587
215	161	585
216	161	583
217	162	582
218	162	580
219	163	579
220	163	577
221	164	576
222	164	574
223	165	572
224	165	571
225	166	569
226	166	568
227	167	566
228	167	565
229	168	563
230	168	562
231	169	560
232	169	559
233	170	557
234	170	556
235	171	554
236	171	553
237	172	551
238	173	550
239	173	549
240	174	548
241	174	546
242	175	545
243	175	543
244	176	542
245	176	541
246	177	539
247	177	538
248	178	537
249	178	535
250	179	534
251	179	533
252	180	532
253	180	531
254	181	530
255	181	528
256	182	527
257	183	526
258	183	525
259	183	523
260	184	522
261	185	521
262	185	520
263	186	518
264	186	517
265	187	516
266	187	514
267	188	513
268	188	512
269	189	511
270	189	509
271	190	508
272	190	507
273	191	506
274	191	504
275	192	503
276	192	502
277	192	501
278	193	499
279	193	498
280	194	497
281	194	496
282	195	495
283	195	494
284	196	492
285	196	491
286	197	490
287	197	489
288	198	488
289	198	486
290	199	485
291	199	484
292	200	483
293	200	482
294	201	481
295	201	480
296	202	479
297	202	477
298	203	476
299	203	475
300	204	474
301	204	473
302	205	472
303	205	471
304	206	469
305	206	468
306	207	467
307	207	466
308	208	465
309	208	464
310	209	463
311	209	462
312	210	461
313	210	460
314	211	459
315	211	458
316	212	457
317	212	455
318	213	454
319	213	453
320	214	452
321	214	451
322	215	450
323	215	449
324	216	448
325	216	447
326	217	446
327	217	445
328	218	444
329	218	443
330	219	442
331	219	441
332	220	440
333	220	439
334	221	438
335	221	437
336	222	437
337	222	436
338	223	435
339	223	434
340	224	433
341	224	432
342	225	431
343	225	430
344	226	429
345	226	428
346	227	427
347	227	427
348	228	426
349	228	425
350	229	424
351	229	423
352	230	422
353	230	421
354	231	420
355	231	419
356	232	418
357	232	417
358	233	416
359	233	415
360	234	414
361	234	413
362	235	413
363	235	412
364	236	411
365	236	410
366	237	409
367	237	408
368	238	407
369	238	406
370	239	405
371	239	404
372	240	404
373	240	403
374	241	402
375	241	401
376	242	400
377	242	399
378	243	398
379	243	397
380	244	396
381	244	396
382	245	395
383	245	394
384	246	393
385	246	392
386	247	391
387	247	391
388	248	390
389	248	389
390	249	388
391	250	388
392	250	387
393	251	386
394	251	385
395	252	384
396	252	384
397	253	383
398	254	382
399	254	381
400	255	381
401	255	380
402	256	379
403	256	378
404	257	377
405	257	376
406	258	376
407	258	375
408	259	374
409	259	373
410	260	372
411	260	372
412	261	371
413	261	370
414	262	369
415	262	368
416	263	368
417	263	367
418	264	366
419	264	365
420	265	364
421	265	364
422	266	363
423	266	362
424	267	361
425	267	360
426	268	360
427	268	359
428	269	358
429	269	357
430	270	356
431	270	356
432	271	355
433	271	354
434	272	353
435	272	353
436	273	352
437	273	351
438	274	350
439	274	349
440	275	349
441	275	348
442	276	347
443	276	346
444	277	346
445	277	345
446	278	344
447	278	343
448	279	342
449	279	342
450	280	341
451	281	340
452	281	339
453	282	339
454	282	338
455	283	337
456	283	336
457	284	336
458	284	335
459	285	334
460	285	334
461	286	333
462	286	332
463	287	331
464	287	331
465	288	330
466	288	329
467	289	329
468	289	328
469	290	327
470	290	326
471	291	326
472	291	325
473	292	324
474	293	323
475	293	323
476	294	322
477	294	321
478	295	320
479	295	320
480	296	319
481	296	318
482	297	318
483	297	317
484	298	316
485	298	316
486	299	315
487	299	314
488	300	313
489	300	313
490	301	312
491	301	311
492	302	310
493	302	310
494	303	309
495	303	308
496	304	308
497	304	307
498	305	306
499	305	305
500	306	305
501	306	304
502	307	303
503	307	302
504	308	302
505	308	301
506	309	300
507	309	300
508	310	299
509	310	298
510	311	297
511	311	297
512	312	296
513	313	295
514	313	295
515	314	294
516	314	293
517	315	293
518	315	292
519	316	291
520	316	291
521	317	290
522	317	289
523	318	288
524	318	288
525	319	287
526	319	286
527	320	286
528	320	285
529	321	284
530	321	284
531	322	283
532	322	282
533	323	282
534	323	281
535	324	280
536	324	279
537	325	279
538	325	278
539	326	277
540	326	277
541	327	276
542	327	275
543	328	275
544	328	274
545	329	273
546	329	273
547	330	272
548	330	271
549	331	270
550	331	270
551	332	269
552	332	268
553	333	268
554	333	267
555	334	266
556	334	266
557	335	265
558	335	264
559	336	264
560	336	263
561	337	262
562	337	262
563	338	261
564	338	260
565	339	260
566	340	259
567	340	258
568	341	258
569	341	257
570	342	256
571	342	256
572	343	255
573	343	254
574	344	254
575	344	253
576	345	252
577	345	252
578	345	251
579	346	250
580	346	250
581	347	249
582	347	248
583	348	248
584	349	247
585	349	247
586	350	246
587	350	245
588	351	245
589	351	244
590	352	243
591	352	243
592	353	242
593	353	241
594	354	241
595	354	240
596	355	239
597	355	239
598	356	238
599	356	237
600	357	237
601	357	236
602	358	235
603	358	235
604	359	234
605	359	233
606	360	233
607	360	232
608	361	232
609	361	231
610	362	230
611	362	230
612	363	229
613	364	228
614	364	228
615	365	227
616	365	226
617	366	226
618	366	225
619	367	225
620	367	224
621	368	223
622	368	223
623	369	222
624	369	221
625	370	221
626	370	220
627	371	220
628	371	219
629	372	218
630	372	218
631	373	217
632	373	216
633	374	216
634	374	215
635	375	214
636	375	214
637	376	213
638	376	212
639	377	212
640	377	211
641	378	210
642	378	210
643	379	209
644	379	209
645	380	208
646	380	207
647	381	207
648	381	206
649	382	205
650	383	205
651	383	204
652	384	204
653	384	203
654	385	203
655	386	202
656	386	201
657	387	201
658	387	200
659	388	199
660	388	199
661	389	198
662	389	198
663	390	197
664	390	196
665	391	196
666	391	195
667	392	195
668	392	194
669	393	193
670	393	193
671	394	192
672	395	191
673	395	191
674	396	190
675	396	190
676	397	189
677	397	188
678	398	188
679	398	187
680	399	187
681	399	186
682	400	185
683	401	185
684	401	184
685	402	184
686	402	183
687	403	182
688	403	182
689	403	181
690	404	180
691	404	180
692	405	179
693	405	178
694	406	178
695	407	177
696	407	177
697	408	176
698	408	175
699	409	175
700	409	174
701	410	174
702	410	173
703	411	172
704	411	172
705	412	171
706	412	171
707	413	170
708	413	169
709	414	169
710	414	168
711	415	167
712	415	167
713	416	166
714	416	166
715	417	165
716	417	164
717	418	164
718	418	163
719	419	163
720	419	162
721	420	161
722	421	161
723	421	160
724	422	160
725	422	159
726	423	158
727	423	158
728	424	157
729	424	157
730	425	156
731	425	155
732	426	155
733	426	154
734	427	154
735	427	153
736	428	152
737	428	152
738	429	151
739	430	151
740	430	150
741	430	149
742	431	149
743	431	148
744	432	148
745	432	147
746	433	146
747	433	146
748	434	145
749	434	144
750	435	144
751	435	143
752	436	143
753	436	142
754	437	141
755	437	141
756	438	140
757	439	140
758	439	139
759	440	138
760	440	138
761	441	137
762	441	137
763	442	136
764	442	135
765	443	135
766	443	134
767	444	134
768	444	133
769	445	132
770	445	132
771	445	131
772	446	131
773	447	130
774	447	129
775	448	129
776	448	128
777	449	128
778	449	127
779	450	126
780	450	126
781	451	125
782	451	125
783	452	124
784	452	124
785	453	123
786	453	122
787	454	122
788	454	121
789	455	121
790	455	120
791	456	119
792	456	119
793	457	118
794	457	118
795	458	117
796	458	116
797	459	116
798	460	115
